Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,symmetric,0.01,0.3132441968544923
100% Corpus,3,symmetric,0.31,0.27147858660936786
100% Corpus,3,symmetric,0.61,0.24537234085231294
100% Corpus,3,symmetric,0.9099999999999999,0.24239444337070556
100% Corpus,3,symmetric,symmetric,0.28875870278482324
100% Corpus,3,asymmetric,0.01,0.3310997598655293
100% Corpus,3,asymmetric,0.31,0.3606564633769905
100% Corpus,3,asymmetric,0.61,0.3711231026289174
100% Corpus,3,asymmetric,0.9099999999999999,0.4260745686199783
100% Corpus,3,asymmetric,symmetric,0.3700280655356781
100% Corpus,4,0.01,0.01,0.35818301580856854
100% Corpus,4,0.01,0.31,0.33457985308758775
100% Corpus,4,0.01,0.61,0.3214264824004245
100% Corpus,4,0.01,0.9099999999999999,0.33606827738172995
100% Corpus,4,0.01,symmetric,0.31967849873003096
100% Corpus,4,0.31,0.01,0.363620286394707
100% Corpus,4,0.31,0.31,0.3350122011823852
100% Corpus,4,0.31,0.61,0.33859742828616823
100% Corpus,4,0.31,0.9099999999999999,0.319506387816043
100% Corpus,4,0.31,symmetric,0.3352992576503401
100% Corpus,4,0.61,0.01,0.36445359224549834
100% Corpus,4,0.61,0.31,0.3080812245571824
100% Corpus,4,0.61,0.61,0.3247545494935337
100% Corpus,4,0.61,0.9099999999999999,0.33348575803688607
100% Corpus,4,0.61,symmetric,0.3473185532309164
100% Corpus,4,0.9099999999999999,0.01,0.37068415178056546
100% Corpus,4,0.9099999999999999,0.31,0.3394546437333772
100% Corpus,4,0.9099999999999999,0.61,0.3038104580935653
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.34477394988437826
100% Corpus,4,0.9099999999999999,symmetric,0.32583721673293986
100% Corpus,4,symmetric,0.01,0.34311934803443767
100% Corpus,4,symmetric,0.31,0.3150273260866244
100% Corpus,4,symmetric,0.61,0.34783065303857424
100% Corpus,4,symmetric,0.9099999999999999,0.31306222423714786
100% Corpus,4,symmetric,symmetric,0.3284044787299759
100% Corpus,4,asymmetric,0.01,0.3477589831952717
100% Corpus,4,asymmetric,0.31,0.36753379261393926
100% Corpus,4,asymmetric,0.61,0.43985907168877836
100% Corpus,4,asymmetric,0.9099999999999999,0.45546372660133716
100% Corpus,4,asymmetric,symmetric,0.3410792720090806
100% Corpus,5,0.01,0.01,0.2953775631230425
100% Corpus,5,0.01,0.31,0.3191713673350721
100% Corpus,5,0.01,0.61,0.3460888701918615
100% Corpus,5,0.01,0.9099999999999999,0.38820734268730595
100% Corpus,5,0.01,symmetric,0.30023540976546415
100% Corpus,5,0.31,0.01,0.3016732046661231
100% Corpus,5,0.31,0.31,0.31636171917124767
100% Corpus,5,0.31,0.61,0.3352194952034937
100% Corpus,5,0.31,0.9099999999999999,0.37277302150437314
100% Corpus,5,0.31,symmetric,0.30201640855754386
100% Corpus,5,0.61,0.01,0.35172220258322906
100% Corpus,5,0.61,0.31,0.3401475411621191
100% Corpus,5,0.61,0.61,0.33842224305074214
100% Corpus,5,0.61,0.9099999999999999,0.36668039832671323
100% Corpus,5,0.61,symmetric,0.33469749357268286
100% Corpus,5,0.9099999999999999,0.01,0.3749572839674726
100% Corpus,5,0.9099999999999999,0.31,0.31712361927752686
100% Corpus,5,0.9099999999999999,0.61,0.3026749913494211
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.32426791460386417
100% Corpus,5,0.9099999999999999,symmetric,0.34438328269203755
100% Corpus,5,symmetric,0.01,0.29607383936905024
100% Corpus,5,symmetric,0.31,0.3216172392578457
100% Corpus,5,symmetric,0.61,0.3718542241065753
100% Corpus,5,symmetric,0.9099999999999999,0.3811311329545104
100% Corpus,5,symmetric,symmetric,0.28869880585042085
100% Corpus,5,asymmetric,0.01,0.32173690013286727
100% Corpus,5,asymmetric,0.31,0.39512913890098356
100% Corpus,5,asymmetric,0.61,0.39462462483195704
100% Corpus,5,asymmetric,0.9099999999999999,0.502472228022653
100% Corpus,5,asymmetric,symmetric,0.35927663157834927
100% Corpus,6,0.01,0.01,0.27201481941252365
100% Corpus,6,0.01,0.31,0.3362915428629183
100% Corpus,6,0.01,0.61,0.35179204629517896
100% Corpus,6,0.01,0.9099999999999999,0.41247300957344946
100% Corpus,6,0.01,symmetric,0.27922166874191195
100% Corpus,6,0.31,0.01,0.3118236111966235
100% Corpus,6,0.31,0.31,0.36600064625530826
100% Corpus,6,0.31,0.61,0.4254633857350996
100% Corpus,6,0.31,0.9099999999999999,0.44054991186274584
100% Corpus,6,0.31,symmetric,0.3304853277185112
100% Corpus,6,0.61,0.01,0.33369044428639194
100% Corpus,6,0.61,0.31,0.3475048281537135
100% Corpus,6,0.61,0.61,0.40119205576640504
100% Corpus,6,0.61,0.9099999999999999,0.4417159967307924
100% Corpus,6,0.61,symmetric,0.3379501254837392
100% Corpus,6,0.9099999999999999,0.01,0.348078157509184
100% Corpus,6,0.9099999999999999,0.31,0.32720982811685695
100% Corpus,6,0.9099999999999999,0.61,0.35224374400252145
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.37998051277891215
100% Corpus,6,0.9099999999999999,symmetric,0.3286067676286441
100% Corpus,6,symmetric,0.01,0.2841749042429916
100% Corpus,6,symmetric,0.31,0.3255249912236207
100% Corpus,6,symmetric,0.61,0.3779063240756939
100% Corpus,6,symmetric,0.9099999999999999,0.41664824159936936
100% Corpus,6,symmetric,symmetric,0.2944007789977854
100% Corpus,6,asymmetric,0.01,0.2826684510548559
100% Corpus,6,asymmetric,0.31,0.4085752832218117
100% Corpus,6,asymmetric,0.61,0.47219592506442365
100% Corpus,6,asymmetric,0.9099999999999999,0.458350856649339
100% Corpus,6,asymmetric,symmetric,0.35789611902546126
100% Corpus,7,0.01,0.01,0.3116554429794161
100% Corpus,7,0.01,0.31,0.33331979465375067
100% Corpus,7,0.01,0.61,0.3862935751850553
100% Corpus,7,0.01,0.9099999999999999,0.40339169828294813
100% Corpus,7,0.01,symmetric,0.33118258753294744
100% Corpus,7,0.31,0.01,0.3381204095488387
100% Corpus,7,0.31,0.31,0.40174150810361947
100% Corpus,7,0.31,0.61,0.4270548697228162
100% Corpus,7,0.31,0.9099999999999999,0.4546798985899843
100% Corpus,7,0.31,symmetric,0.34875767113647166
100% Corpus,7,0.61,0.01,0.35113544564663185
100% Corpus,7,0.61,0.31,0.3959779303054023
100% Corpus,7,0.61,0.61,0.4374588483116662
100% Corpus,7,0.61,0.9099999999999999,0.41893214120240146
100% Corpus,7,0.61,symmetric,0.3278019539056959
100% Corpus,7,0.9099999999999999,0.01,0.3449330111480896
100% Corpus,7,0.9099999999999999,0.31,0.3137740076474037
100% Corpus,7,0.9099999999999999,0.61,0.35267523776221743
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3578176033525298
100% Corpus,7,0.9099999999999999,symmetric,0.3131108271505013
100% Corpus,7,symmetric,0.01,0.3141265534060803
100% Corpus,7,symmetric,0.31,0.34057633559967193
100% Corpus,7,symmetric,0.61,0.4061888038659421
100% Corpus,7,symmetric,0.9099999999999999,0.4390447685184231
100% Corpus,7,symmetric,symmetric,0.3257732678887978
100% Corpus,7,asymmetric,0.01,0.37687905680326494
100% Corpus,7,asymmetric,0.31,0.4377051949449608
100% Corpus,7,asymmetric,0.61,0.46315448319742797
100% Corpus,7,asymmetric,0.9099999999999999,0.4344649931713724
100% Corpus,7,asymmetric,symmetric,0.3905371536614333
100% Corpus,8,0.01,0.01,0.31410327492309476
100% Corpus,8,0.01,0.31,0.31883523040351475
100% Corpus,8,0.01,0.61,0.36730018982329915
100% Corpus,8,0.01,0.9099999999999999,0.35787421332005825
100% Corpus,8,0.01,symmetric,0.34254147301734783
100% Corpus,8,0.31,0.01,0.340061051148535
100% Corpus,8,0.31,0.31,0.41041055423509376
100% Corpus,8,0.31,0.61,0.4342025605489366
100% Corpus,8,0.31,0.9099999999999999,0.4302216103247205
100% Corpus,8,0.31,symmetric,0.36481308528354706
100% Corpus,8,0.61,0.01,0.34758473480525465
100% Corpus,8,0.61,0.31,0.38274044237897675
100% Corpus,8,0.61,0.61,0.4501484027404732
100% Corpus,8,0.61,0.9099999999999999,0.4314450777451586
100% Corpus,8,0.61,symmetric,0.34933286425596066
100% Corpus,8,0.9099999999999999,0.01,0.34897511344219406
100% Corpus,8,0.9099999999999999,0.31,0.316669496266365
100% Corpus,8,0.9099999999999999,0.61,0.3406572084374456
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3201466788295314
100% Corpus,8,0.9099999999999999,symmetric,0.3149211620165048
100% Corpus,8,symmetric,0.01,0.3030410238356929
100% Corpus,8,symmetric,0.31,0.37495974689731876
100% Corpus,8,symmetric,0.61,0.39884794098366216
100% Corpus,8,symmetric,0.9099999999999999,0.42773736293505404
100% Corpus,8,symmetric,symmetric,0.33483910147445284
100% Corpus,8,asymmetric,0.01,0.33071160160008983
100% Corpus,8,asymmetric,0.31,0.4262251319050543
100% Corpus,8,asymmetric,0.61,0.46621975164663254
100% Corpus,8,asymmetric,0.9099999999999999,0.4239123114248523
100% Corpus,8,asymmetric,symmetric,0.4106124399424837
100% Corpus,9,0.01,0.01,0.3142437240300409
100% Corpus,9,0.01,0.31,0.37478151850871255
100% Corpus,9,0.01,0.61,0.4136164559829132
100% Corpus,9,0.01,0.9099999999999999,0.4542372315508132
100% Corpus,9,0.01,symmetric,0.3320678026512578
100% Corpus,9,0.31,0.01,0.35408441114238276
