Geo Point;Geo Shape;Arrondissement;Adresse;Proposition non réalisable;Type de végétalisation;Etat de la proposition;Numéro;Commentaitre accompagnant la proposition;Avancement du projet
48.826841,2.36363800032;"{""type"": ""Point"", ""coordinates"": [2.36363800032109, 48.8268409999784]}";75013.0;98  Rue de Tolbiac;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Plantation d?arbre;Propositions non réalisables techniquement;S2014G4796;il s'agit de végétaliser (arbres, jardinières) le terre-plein entre la rue baudricourt et la rue charles moureu;-
48.8408979997,2.40503700017;"{""type"": ""Point"", ""coordinates"": [2.4050370001671473, 48.84089799974985]}";75012.0;60 Rue du Sahel;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Autre proposition;Propositions non réalisables techniquement;S2014I20;Installer des corbeilles de fleurs sur les ponts des anciennes voies ferrées de la petite ceinture en particulier sur le cours de vincennes;-
48.8272821024,2.32229813888;"{""type"": ""Point"", ""coordinates"": [2.322298138882231, 48.82728210239127]}";75014.0;rue des plantes;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;S2014G3429;-;Réalisé
48.8677510002,2.3496259995;"{""type"": ""Point"", ""coordinates"": [2.349625999502811, 48.86775100021711]}";75002.0;37/39 Rue Dussoubs;la proposition n'a pas été retenue car il existe des vitrines à proximité, pour lesquelles elle aurait constitué une gêne visuelle;Mur végétalisé;Propositions non réalisables techniquement;S2014G4583;Un super grand mur à végétaliser;-
48.8584838913,2.34517549249;"{""type"": ""Point"", ""coordinates"": [2.345175492486687, 48.85848389130494]}";75001.0;7 rue des orfevres;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;S2014I2304;-;Réalisé
48.8551130002,2.3860700002;"{""type"": ""Point"", ""coordinates"": [2.38607000019989, 48.85511300019597]}";75011.0;2bis Impasse Delaunay;la proposition n'a pas été retenue car le trottoir est trop étroit;Mur végétalisé;Propositions non réalisables techniquement;S2014H259;Mur végétalisable;-
48.8776930004,2.32071800005;"{""type"": ""Point"", ""coordinates"": [2.320718000046715, 48.87769300040351]}";75008.0;46 Rue du Rocher;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014I190;L'espace entièrement bitumé devant le 46 pourrait être vegetalisées et apporter de la fraîcheur dans la rue, en prolongement du numéro 48;-
48.8665639996,2.3454860003;"{""type"": ""Point"", ""coordinates"": [2.345486000296694, 48.866563999580215]}";75002.0;17  Rue Léopold Bellan;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Mur végétalisé;Propositions non réalisables techniquement;S2014I1914;toiture vegetale (sur le toit plat du centre sportif jean damme);-
48.8338429997,2.29507499973;"{""type"": ""Point"", ""coordinates"": [2.295074999727512, 48.83384299967994]}";75015.0;Rue Olivier de Serres;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014G2019;Dépose de bac dans la rue au niveau de l'école comme rue de la Tombe Issoire afin de verdir cette rue très minérale en son début;-
48.8370250001,2.31826199965;"{""type"": ""Point"", ""coordinates"": [2.318261999647822, 48.837025000148515]}";75014.0;Place de Catalogne;la proposition n'a pas été retenue du fait des protections patrimoniales propres au site proposé limitant les réalisations possibles;Plantation d?arbre;Propositions non réalisables techniquement;S2014I1056;pas de commentaires;-
48.8721079999,2.36423999993;"{""type"": ""Point"", ""coordinates"": [2.364239999926114, 48.87210799993749]}";75010.0;2  Rue Jean Poulmarch;-;Pot ou bac à fleurs;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014I3123;-;-
48.8386819997,2.33079499962;"{""type"": ""Point"", ""coordinates"": [2.330794999617658, 48.8386819996776]}";75014.0;Boulevard Raspail;-;Jardinière pleine terre;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;;-;-
48.8693370004,2.35553100052;"{""type"": ""Point"", ""coordinates"": [2.355531000524643, 48.86933700043074]}";75010.0;2  Boulevard Saint-Denis;-;Pot ou bac à fleurs;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G2059;-;-
