Geo Point;Geo Shape;Arrondissement;Adresse;Proposition non réalisable;Type de végétalisation;Etat de la proposition;Numéro;Commentaitre accompagnant la proposition;Avancement du projet
48.8656629996,2.34485000052;"{""type"": ""Point"", ""coordinates"": [2.344850000524048, 48.86566299958704]}";75002.0;64  Rue Montmartre;la proposition n'a pas été retenue à cause du revêtement de l'entourage d'arbre incompatible avec la plantation de végétaux ou du risque de piétinement importants;Végétalisation d'un pied d'arbre;Propositions non réalisables techniquement;S2014G2965;pas de commentaires;-
48.8319033129,2.36573178953;"{""type"": ""Point"", ""coordinates"": [2.365731789525685, 48.83190331291062]}";75013.0;64 - 68 rue jeanne d'arc;-;Plantation d'arbre;proposition réalisable et retenue dans les 200 points de végétalisation;S2014H2202;-;Programmé
48.8353549996,2.38640999994;"{""type"": ""Point"", ""coordinates"": [2.386409999937626, 48.83535499956073]}";75012.0;Rue de la Nativité;la proposition n'a pas été retenue du fait des protections patrimoniales propres au site proposé limitant les réalisations possibles;Mur végétalisé;Propositions non réalisables techniquement;S2014H3979;Notre Dame de Bercy - immeuble très minéral béton et dégradé. Bailleur social à soutenir;-
48.8682209999,2.35201700066;"{""type"": ""Point"", ""coordinates"": [2.3520170006617622, 48.868220999937456]}";75002.0;16  Rue de Tracy;la proposition n'a pas été retenue car le trottoir est trop étroit;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I437;"mise en place de bacs à fleurs pour neutraliser l'espace
 libre et éviter qu'il se transforme en urinoir (ce qui est le cas depuis de nombreuses années avec risques sanitaires, odeurs infectes et visions...)";-
48.8709650002,2.35061399974;"{""type"": ""Point"", ""coordinates"": [2.350613999738881, 48.87096500020849]}";75010.0;7  Impasse Bonne Nouvelle;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014I4542;Ouvrir Jardin . CQ St Denis Paradis;-
48.8665430004,2.33739699975;"{""type"": ""Point"", ""coordinates"": [2.337396999748367, 48.86654300041284]}";75001.0;56  Rue de Richelieu;la proposition n'a pas été retenue car il existe des vitrines à proximité, pour lesquelles elle aurait constitué une gêne visuelle;Mur végétalisé;Propositions non réalisables techniquement;S2014G4560;Bonjour, j'aimerais planter du lierre ou une vigne vierge en pleine terre pour couvrir la façade, éventuellement côté rue des Petits-Champs ou le trottoir a déjà été élargi. Merci !;-
48.8712979996,2.36174400019;"{""type"": ""Point"", ""coordinates"": [2.361744000189187, 48.871297999616885]}";75010.0;45  Rue de Lancry;la proposition n'a pas été retenue car le mur proposé est apparu inadéquat ou en mauvais état;Mur végétalisé;Propositions non réalisables techniquement;S2014I1421;Demande de végétalisation sur le mur gauche (immeuble mitoyen) du 45 rue de lancry car mur laid et dépôt sauvage (constant) d'ordures au pied de ce mur.;-
48.8202939999,2.35880800038;"{""type"": ""Point"", ""coordinates"": [2.358808000383048, 48.82029399991148]}";75013.0;180  Avenue d'Italie;la proposition n'a pas été retenue car elle faisait état d'un dysfonctionnement de l'espace public, et ne rentrait pas dans le cadre de l'opération Du Vert Près de Chez Moi;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014H2447;Pourquoi une jaridiniere à la place de cet arbre mort il y a deux ans?;-
48.8858769997,2.32128599949;"{""type"": ""Point"", ""coordinates"": [2.321285999485637, 48.88587699966043]}";75017.0;33 Rue Truffaut;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Plantation d?arbre;Propositions non réalisables techniquement;S2014I2003;Emplacement pour 1 arbre;-
48.8262109997,2.3736410004;"{""type"": ""Point"", ""coordinates"": [2.373641000395204, 48.826210999652474]}";75013.0;Rue de Patay;l'absence de commentaires ou de photos, ou de précisions suffisantes, n'ont pas permis aux services de caractériser le type de végétalisation souhaité ou un emplacement suffisament précis;Autre proposition;Propositions non réalisables techniquement;S2014G3909;pas de commentaires;-
48.8745509997,2.37350000058;"{""type"": ""Point"", ""coordinates"": [2.373500000582072, 48.874550999739654]}";75010.0;33  Rue de Sambre-Et-Meuse;la proposition n'a pas été retenue car le trottoir est trop étroit;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014H3967;pas de commentaires;-
48.8528639997,2.38449800044;"{""type"": ""Point"", ""coordinates"": [2.384498000441357, 48.852863999697746]}";75011.0;4b  Rue Jean Macé;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014I781;pas de commentaires;-
48.8891779997,2.34006299954;"{""type"": ""Point"", ""coordinates"": [2.340062999544125, 48.889177999693715]}";75018.0;Rue des Saules;la proposition n'a pas été retenue car le trottoir est trop étroit;Plantation d?arbre;Propositions non réalisables techniquement;S2014G3595;"Planter des saules au niveau des escaliers rue des saules ! 
Il faudrait aussi obliger la maison située en face du 30 rue des saules à repeindre voir végétaliser leur facade car elle gache tout le charme de la rue..";-
48.8786490001,2.40052100035;"{""type"": ""Point"", ""coordinates"": [2.400521000348571, 48.87864900010935]}";75019.0;49  Rue des Bois;la proposition n'a pas été retenue à cause du manque de luminosité du site proposé, incompatible avec le développement de la végétation;Mur végétalisé;Propositions non réalisables techniquement;S2014I468;pas de commentaires;-
48.8726599999,2.36319599986;"{""type"": ""Point"", ""coordinates"": [2.363195999859239, 48.87265999994804]}";75010.0;15  Rue Jean Poulmarch;-;Plantation d?arbre;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G1931;-;-
48.8361320001,2.32342800031;"{""type"": ""Point"", ""coordinates"": [2.323428000308381, 48.836132000111064]}";75014.0;116 Avenue du Maine;la proposition n'a pas été retenue du fait du caractère sensible du site proposé;Mur végétalisé;Propositions non réalisables techniquement;S2014H1024;vegetalisation du mur du commissariat de police du 14eme arrondissement avenue du maine;-
48.8741209999,2.40326400014;"{""type"": ""Point"", ""coordinates"": [2.403264000135013, 48.874120999913295]}";75020.0;81  Rue Haxo;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Autre proposition;Propositions non réalisables techniquement;S2014I1608;À côté de l'église N-D-des-Otages se trouve un vaste parking. L'idée est de le remplacer par un square nommé Square des Otages (un nouveau parking serait créé en souterrain pour remplacer l'actuel si cela s'avère nécessaaire).;-
48.8618340003,2.3408629998;"{""type"": ""Point"", ""coordinates"": [2.340862999801255, 48.86183400026779]}";75001.0;138  Rue Saint-Honoré;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Mur végétalisé;Propositions non réalisables techniquement;S2014I656;pas de commentaires;-
48.8507620001,2.34774100026;"{""type"": ""Point"", ""coordinates"": [2.34774100026238, 48.850762000092004]}";75005.0;9 Rue des Anglais;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Mur végétalisé;Propositions non réalisables techniquement;S2014G2065;Proposition de végétalisation d'un mûr situé, angle rue Dôme - rue des Anglais, appartenant à un bailleur social.;-
48.8746530002,2.30551200047;"{""type"": ""Point"", ""coordinates"": [2.305512000466071, 48.87465300016899]}";75008.0;179  Boulevard Haussmann;la proposition n'a pas été retenue car elle faisait état d'un dysfonctionnement de l'espace public, et ne rentrait pas dans le cadre de l'opération Du Vert Près de Chez Moi;Autre proposition;Propositions non réalisables techniquement;S2014G3577;elaguer les arbres;-
48.8650149998,2.33577800045;"{""type"": ""Point"", ""coordinates"": [2.3357780004454343, 48.86501499981171]}";75001.0;9 Rue Molière;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014J169;Ajouter un arbre pour éviter les dépôts de dechets;-
48.8783189999,2.35828099956;"{""type"": ""Point"", ""coordinates"": [2.358280999562319, 48.878318999931956]}";75010.0;40  Rue d'Alsace;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Plantation d?arbre;Propositions non réalisables techniquement;S2014I3139;L'idée est de piétonniser la rue qui l'est par la force des choses (énorme flux piétonnié entre Gare de l'est et Gare du Nord) et offrir un passage arboré;-
48.8761479997,2.39372999978;"{""type"": ""Point"", ""coordinates"": [2.393729999782734, 48.876147999706646]}";75019.0;Rue Augustin Thierry;l'absence de commentaires ou de photos, ou de précisions suffisantes, n'ont pas permis aux services de caractériser le type de végétalisation souhaité ou un emplacement suffisament précis;Mur végétalisé;Propositions non réalisables techniquement;S2014G1880;pas de commentaires;-
48.8958269998,2.34612599956;"{""type"": ""Point"", ""coordinates"": [2.346125999555852, 48.895826999843266]}";75018.0;Place Albert Kahn;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I4596;"proposition en lien avec 1 projet globale de création
 d'un parcours végétal et artistique comme trait d'union entre la Butte et les puces. Collaboration entre Les ateliers Comme à la maison, Le carré Versigny et les Jardins du Ruisseau.";-
48.8992729998,2.32927500005;"{""type"": ""Point"", ""coordinates"": [2.329275000054892, 48.89927299979102]}";75017.0;17  Avenue de la Porte de Saint-Ouen;la proposition n'a pas été retenue car elle faisait état d'un dysfonctionnement de l'espace public, et ne rentrait pas dans le cadre de l'opération Du Vert Près de Chez Moi;Autre proposition;Propositions non réalisables techniquement;S2014H608;Espace végétalisé comprenant seringues et multiples déchets. A FAIRE TAILLER;-
48.8836892482,2.39109356878;"{""type"": ""Point"", ""coordinates"": [2.391093568776874, 48.883689248241765]}";75019.0;11 rue de la solidarité;-;Mur végétalisé;proposition réalisable et retenue dans les 200 points de végétalisation;NP45;-;En cours de substitution / En cours de validation
48.8820742132,2.33721185155;"{""type"": ""Point"", ""coordinates"": [2.337211851547161, 48.88207421317609]}";75009.0;avenue trudaine;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;NP13;-;Réalisé
48.846457,2.40603499936;"{""type"": ""Point"", ""coordinates"": [2.406034999364222, 48.84645700001225]}";75012.0;81  Avenue du Docteur Arnold Netter;la proposition n'a pas été retenue car peu compatible avec la circulation des piétons (forte fréquentation, piétinement, gêne) ou aggraverait l'encombrement de l'espace public concerné;Autre proposition;Propositions non réalisables techniquement;S2014H3871;un projet complémentaire : planter des fleurs des champs autour des arbres;-
48.863639,2.3600920005;"{""type"": ""Point"", ""coordinates"": [2.360092000504786, 48.86363900001232]}";75003.0;8 Rue Portefoin;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014I5999;"Espace de mur ou on pisse régulièrement. 
Besoin de solution type jardinière.";-
48.8720870003,2.33838100045;"{""type"": ""Point"", ""coordinates"": [2.338381000445053, 48.872087000341075]}";75009.0;1  Boulevard Haussmann;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Autre proposition;Propositions non réalisables techniquement;S2014G3494;"Aménagement du terre-plein à l'angle des boulevards 
haussmann/italiens afin qu'il soit accueillant et pas seulement un repère à pigeon. De même ce carrefour pourrait être aménagé afin de réduire la place laissée à la voiture";-
48.8721079999,2.36423999993;"{""type"": ""Point"", ""coordinates"": [2.364239999926114, 48.87210799993749]}";75010.0;2  Rue Jean Poulmarch;la proposition n'a pas été retenue car le trottoir est trop étroit;Plantation d?arbre;Propositions non réalisables techniquement;S2014I3121;pas de commentaires;-
48.8624689997,2.36437400016;"{""type"": ""Point"", ""coordinates"": [2.364374000160004, 48.86246899973732]}";75003.0;111  Rue de Turenne;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Plantation d?arbre;Propositions non réalisables techniquement;S2014I3931;végétaliser toute la place;-
48.8912439999,2.37784399996;"{""type"": ""Point"", ""coordinates"": [2.377843999962594, 48.891243999899906]}";75019.0;106  Avenue de Flandre;la proposition n'a pas été retenue car le mur proposé est apparu inadéquat ou en mauvais état;Mur végétalisé;Propositions non réalisables techniquement;S2014H2285;pas de commentaires;-
48.8707649996,2.35408700017;"{""type"": ""Point"", ""coordinates"": [2.3540870001745082, 48.87076499962117]}";75010.0;Rue de Metz;-;Mur végétalisé;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G2342;-;-
48.8650800003,2.35053600047;"{""type"": ""Point"", ""coordinates"": [2.35053600046955, 48.86508000029637]}";75002.0;19/23 Rue Greneta;-;Plantation d?arbre;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014H622;-;-
48.8678039998,2.39008999969;"{""type"": ""Point"", ""coordinates"": [2.39008999968922, 48.8678039997515]}";75020.0;12  Rue des Plâtrières;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Mur végétalisé;Propositions non réalisables techniquement;S2014H3805;Grand mur qui mériterai d'être vegetalisé car sa longueur est intéressante et il n'y aurait plus de graphitis;-
48.864700003,2.3631039975;"{""type"": ""Point"", ""coordinates"": [2.363103997496498, 48.86470000300191]}";75003.0;2 rue dupetit thouars;-;Jardinière en pleine terre;proposition réalisable et retenue dans les 200 points de végétalisation;S2014I2212;-;En cours de substitution / En cours de validation
48.860187588,2.35356301964;"{""type"": ""Point"", ""coordinates"": [2.353563019637932, 48.860187588031934]}";75004.0;10 rue simon le franc;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;S2014G3630;-;Réalisé
48.8453459997,2.37121299997;"{""type"": ""Point"", ""coordinates"": [2.371212999965328, 48.84534599967269]}";75012.0;211  Rue de Bercy;la proposition n'a pas été retenue car elle concerne une zone située en dehors du domaine public géré par la Ville de Paris;Plantation d?arbre;Propositions non réalisables techniquement;S2014H3962;immeuble et cour tristes au milieu des grands immeubles de bureaux.;-
48.8906039998,2.37580899999;"{""type"": ""Point"", ""coordinates"": [2.375808999987083, 48.89060399983176]}";75019.0;7  Rue Mathis;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014H2287;pas de commentaires;-
48.8305949999,2.30397299966;"{""type"": ""Point"", ""coordinates"": [2.303972999659805, 48.83059499991033]}";75015.0;15  Rue du Lieuvin;-;Végétalisation d'un pied d'arbre;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G2340;-;-
48.8663209995,2.37687099968;"{""type"": ""Point"", ""coordinates"": [2.376870999679832, 48.86632099954793]}";75011.0;106  Rue Saint-Maur;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Mur végétalisé;Propositions non réalisables techniquement;S2014I371;pas de commentaires;-
48.8771269997,2.34321499998;"{""type"": ""Point"", ""coordinates"": [2.343214999981125, 48.8771269997251]}";75009.0;14  Passage Briare;la proposition n'a pas été retenue car aucun mur susceptible de servir de support à de la végétation n'a été trouvé à l'adresse indiquée;Mur végétalisé;Propositions non réalisables techniquement;S2014I4922;pas de commentaires;-
48.8614039997,2.37670500029;"{""type"": ""Point"", ""coordinates"": [2.376705000286321, 48.86140399970363]}";75011.0;1  Rue Lacharrière;la proposition n'a pas été retenue car le trottoir est trop étroit;Plantation d?arbre;Propositions non réalisables techniquement;S2014G2517;pas de commentaires;-
48.8300179996,2.32935400061;"{""type"": ""Point"", ""coordinates"": [2.329354000608695, 48.83001799958502]}";75014.0;63 Rue du Couédic;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I2636;Pourquoi ne pas installer à la place un bac verdure pouvant même être entretenu par le 63. Avantage sécurité maintenu et décors plus sympa;-
48.8361800004,2.26694200036;"{""type"": ""Point"", ""coordinates"": [2.26694200035532, 48.836180000408135]}";75015.0;Quai d'Issy-Les-Moulineaux;l'absence de commentaires ou de photos, ou de précisions suffisantes, n'ont pas permis aux services de caractériser le type de végétalisation souhaité ou un emplacement suffisament précis;Autre proposition;Propositions non réalisables techniquement;S2014I886;"coût presque nul (préserver l'existant qui est l
à un peu par hasard)";-
48.8871409996,2.37289999994;"{""type"": ""Point"", ""coordinates"": [2.372899999942033, 48.887140999622915]}";75019.0;46  Avenue de Flandre;la proposition n'a pas été retenue car elle concerne une zone non accessible depuis l'espace public;Mur végétalisé;Propositions non réalisables techniquement;S2014I4291;pas de commentaires ***;-
48.8284629997,2.33097299971;"{""type"": ""Point"", ""coordinates"": [2.330972999708925, 48.82846299969152]}";75014.0;Rue du Commandeur;la proposition n'a pas été retenue car le trottoir est trop étroit;Plantation d?arbre;Propositions non réalisables techniquement;S2014H3101;pas de commentaires;-
48.8749869996,2.39881899997;"{""type"": ""Point"", ""coordinates"": [2.398818999965195, 48.87498699961432]}";75020.0;51  Rue du Télégraphe;-;Pot ou bac à fleurs;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014H2839;-;-
48.8736920002,2.39802299966;"{""type"": ""Point"", ""coordinates"": [2.3980229996639792, 48.87369200017247]}";75020.0;170  Rue Pelleport;-;Pot ou bac à fleurs;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014I4838;-;-
48.8744910001,2.40269700035;"{""type"": ""Point"", ""coordinates"": [2.402697000353886, 48.874491000106865]}";75020.0;1-11 Villa des Otages;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Autre proposition;Propositions non réalisables techniquement;S2014I917;Parking à végétaliser villa des Otages;-
48.8739199999,2.40533700048;"{""type"": ""Point"", ""coordinates"": [2.405337000483936, 48.873919999937804]}";75020.0;138  Avenue Gambetta;la proposition n'a pas été retenue car elle concerne une zone située en dehors du domaine public géré par la Ville de Paris;Mur végétalisé;Propositions non réalisables techniquement;S2014H3799;Cette résidence comprend quelques murs partiellement vides où une végétalisation serait peut-être possible.;-
-90.0,-59.0169768948;"{""type"": ""Point"", ""coordinates"": [-59.016976894805566, -90.0]}";75019.0;Angle Curial/ Alphonse Karr et angle des rue Curial et Cambrai;-;Déplacement du relais et verger urbain sur lespace au sol mitoyen des grilles.;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;;-;-
48.8958580001,2.34294099955;"{""type"": ""Point"", ""coordinates"": [2.342940999548934, 48.89585800012668]}";75018.0;1  Passage Penel;-;Plantation d?arbre;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014H3024;-;-
48.8581739996,2.40491999945;"{""type"": ""Point"", ""coordinates"": [2.404919999453302, 48.85817399961296]}";75020.0;27  Rue Vitruve;-;Mur végétalisé;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G2050;-;-
48.8718237552,2.40456728249;"{""type"": ""Point"", ""coordinates"": [2.4045672824938062, 48.871823755238026]}";75020.0;114 avenue gambetta;-;Plantation d'arbre;proposition réalisable et retenue dans les 200 points de végétalisation;S2014I3421;-;En cours de substitution / En cours de validation
48.8501695558,2.30843115533;"{""type"": ""Point"", ""coordinates"": [2.3084311553341488, 48.85016955576324]}";75007.0;impasse oudinot;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;S2014G3430;-;Réalisé
48.8696126226,2.34889163645;"{""type"": ""Point"", ""coordinates"": [2.3488916364487, 48.86961262257149]}";75002.0;7 rue thorel;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;S2014I4621;-;Réalisé
48.8840759998,2.36705400062;"{""type"": ""Point"", ""coordinates"": [2.367054000617239, 48.88407599984413]}";75010.0;153  Boulevard de la Villette;la proposition n'a pas été retenue car le trottoir est trop étroit;Autre proposition;Propositions non réalisables techniquement;S2014G2415;"Exploiter l'espace sous le métro aérien par la végétation :
 plantes retombantes accrochées à la structure métallique du métro";-
48.8757709999,2.35832699994;"{""type"": ""Point"", ""coordinates"": [2.358326999938542, 48.87577099986379]}";75010.0;76  Boulevard de Strasbourg;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014I4562;"Végétaliser tout le haut du Bld de Strasbourg, 
Place du 8 mai . CQ st Denis Paradis";-
48.8636379998,2.34853900066;"{""type"": ""Point"", ""coordinates"": [2.348539000660375, 48.86363799983355]}";75001.0;12  Rue de Turbigo;la proposition n'a pas été retenue car peu compatible avec la circulation des piétons (forte fréquentation, piétinement, gêne) ou aggraverait l'encombrement de l'espace public concerné;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I2287;pas de commentaires;-
48.8516589996,2.31797399954;"{""type"": ""Point"", ""coordinates"": [2.317973999537087, 48.851658999605135]}";75007.0;49  Rue de Babylone;la proposition n'a pas été retenue du fait du caractère sensible du site proposé;Mur végétalisé;Propositions non réalisables techniquement;S2014H650;Le trottoir devant la caserne de Babylone est en permanence très sale à cause des chiens. Vous pourriez végétaliser les murs et installer des sani-canins? Pour des raisons de sécurité c'est peut-être impossible, alors trouvez une autre idée svp.;-
48.8688310001,2.35925900012;"{""type"": ""Point"", ""coordinates"": [2.359259000118881, 48.86883100011928]}";75010.0;1?58 Rue René Boulanger;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014I2791;"On pourrait imaginer un petit parc en face
 de la Fongecif, sur toute cette esplanade, avec quelques jeux enfants.";-
48.8559559998,2.37569699949;"{""type"": ""Point"", ""coordinates"": [2.375696999486641, 48.85595599978858]}";75011.0;78  Rue de la Roquette;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Mur végétalisé;Propositions non réalisables techniquement;S2014I4298;L'immeuble du 78 rue de la roquette dépasse de l'alignement des maisons du côté pair. Des deux côtés de l'immeuble se trouvent deux grands pans de murs qui pourraient être végétalisés, surtout celui du côté du 80 rue de la roquette.;-
48.8569840001,2.37358599977;"{""type"": ""Point"", ""coordinates"": [2.373585999770737, 48.85698400012385]}";75011.0;3  Passage Salarnier;;Autre proposition;Propositions non réalisables techniquement;S2014G1972;De la part des locataires : devant notre immeuble, un terre-plein est en permanence dégradé par des détritus, graffitis;-
48.86069,2.3862100004;"{""type"": ""Point"", ""coordinates"": [2.386210000396612, 48.86068999998251]}";75011.0;64  Rue de la Folie-Regnault;la proposition n'a pas été retenue car elle concerne une zone située en dehors du domaine public géré par la Ville de Paris;Mur végétalisé;Propositions non réalisables techniquement;S2014G3414;pas de commentaires;-
48.8708389996,2.33214299998;"{""type"": ""Point"", ""coordinates"": [2.332142999978049, 48.87083899959371]}";75009.0;Place de l'Opéra;la proposition n'a pas été retenue du fait des protections patrimoniales propres au site proposé limitant les réalisations possibles;Plantation d?arbre;Propositions non réalisables techniquement;S2014G4229;pas de commentaires;-
48.8799679996,2.35971899942;"{""type"": ""Point"", ""coordinates"": [2.359718999416756, 48.87996799962158]}";75010.0;178  Rue la Fayette;la proposition n'a pas été retenue du fait d'un support incompatible avec la mise en place de végétation;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I4931;pas de commentaires;-
48.8393610002,2.39461599968;"{""type"": ""Point"", ""coordinates"": [2.394615999681049, 48.83936100019813]}";75012.0;Boulevard de Reuilly;l'absence de commentaires ou de photos, ou de précisions suffisantes, n'ont pas permis aux services de caractériser le type de végétalisation souhaité ou un emplacement suffisament précis;Autre proposition;Propositions non réalisables techniquement;S2014G3876;Transformons de ce lieu avec l'application d'UFO en cours de developpement pour mieux imaginer et vegetaliser ensemble;-
48.8420920002,2.40095899933;"{""type"": ""Point"", ""coordinates"": [2.40095899932835, 48.842092000222344]}";75012.0;19 Boulevard de Picpus;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Mur végétalisé;Propositions non réalisables techniquement;S2014I5478;"ne sait il pas possible de vegetaliser tous les
 pieds d arbres situés le long de la station de métro Bel Air ? Merci";-
48.8618949998,2.40252599989;"{""type"": ""Point"", ""coordinates"": [2.402525999892744, 48.86189499976737]}";75020.0;12 Rue Lisfranc;la proposition n'a pas été retenue car elle concerne une zone non accessible depuis l'espace public;Mur végétalisé;Propositions non réalisables techniquement;S2014I5384;mur triste qui gagnerait à être vegetalise;-
48.8319859997,2.37705299993;"{""type"": ""Point"", ""coordinates"": [2.377052999930442, 48.83198599972505]}";75013.0;23 Rue Emile Durkheim;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I3280;Le parvis de la BNF manque d'une véritable végétalisation pérenne qui donnerait un petit de nature et donc de vie à cet endroit qui en manque cruellement;-
48.8272039998,2.36900499982;"{""type"": ""Point"", ""coordinates"": [2.369004999820797, 48.82720399981995]}";75013.0;69  Rue de Tolbiac;la proposition n'a pas été retenue à cause du revêtement de l'entourage d'arbre incompatible avec la plantation de végétaux ou du risque de piétinement importants;Végétalisation d'un pied d'arbre;Propositions non réalisables techniquement;S2014G3983;un joli triangle sans rien aujourd'hui qui mériterait un peu de verdure et qui sur la rue de Tolbiac apporterait un bol d'air frais;-
48.8658799998,2.37208700005;"{""type"": ""Point"", ""coordinates"": [2.372087000049411, 48.86587999978186]}";75011.0;29 Avenue de la République;la proposition n'a pas été retenue à cause du revêtement de l'entourage d'arbre incompatible avec la plantation de végétaux ou du risque de piétinement importants;Végétalisation d'un pied d'arbre;Propositions non réalisables techniquement;S2014I2534;Végétaliser les pieds d'arbre avenue de la république;-
48.87607,2.3706899996;"{""type"": ""Point"", ""coordinates"": [2.370689999600771, 48.876070000021876]}";75010.0;18  Rue Vicq d'Azir;la proposition n'a pas été retenue car peu compatible avec la circulation des piétons (forte fréquentation, piétinement, gêne) ou aggraverait l'encombrement de l'espace public concerné;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I3082;On pourrait profiter de l'élargissement de trottoir devant l'école pour planter (pot ou pleine terre?!) et végétaliser ! Merci !;-
48.8648942467,2.38022803298;"{""type"": ""Point"", ""coordinates"": [2.380228032977258, 48.8648942466615]}";75011.0;13 villa gaudelet;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;S2014H1513;-;Réalisé
48.8597440002,2.34690800004;"{""type"": ""Point"", ""coordinates"": [2.346908000040053, 48.859744000178196]}";75001.0;10  Rue des Halles;la proposition n'a pas été retenue car peu compatible avec la circulation des piétons (forte fréquentation, piétinement, gêne) ou aggraverait l'encombrement de l'espace public concerné;Mur végétalisé;Propositions non réalisables techniquement;S2014I2309;pas de commentaires;-
48.8606580004,2.37049800027;"{""type"": ""Point"", ""coordinates"": [2.370498000274886, 48.860658000384674]}";75011.0;Rue Alphonse Baudin;la proposition n'a pas été retenue car le trottoir est trop étroit;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I3557;l'instazllation de bacs éviteraient que les 2 roues ne soient attachés aux grilles pour des stationnements prolongés: plus de sécurité sur le trottoir.;-
48.8556710002,2.38643800007;"{""type"": ""Point"", ""coordinates"": [2.386438000074736, 48.85567100019379]}";75011.0;43 Rue Léon Frot;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Mur végétalisé;Propositions non réalisables techniquement;S2014G2819;Immeuble plus large que les autres. Du vert des 2 côtés ce serait beau et éviterait que les gens déposent leurs ordures :-);-
